Input	Output
5382  1.77886497064579      0.06188925081433278	5383  1.77886497064579      0.06188925081433278
5383  1.77886497064579      0.06188925081433278	5384  1.77886497064579     0.058441558441558364
5384  1.77886497064579     0.058441558441558364	5385  1.77886497064579     0.048859934853419815
5385  1.77886497064579     0.048859934853419815	5386  1.77886497064579       0.0454545454545444
5386  1.77886497064579       0.0454545454545444	5387  1.79647749510763      0.01628664495113989
5387  1.79647749510763      0.01628664495113989	5388  1.79647749510763     0.016393442622950734
5388  1.79647749510763     0.016393442622950734	5389  1.79647749510763      0.01628664495113989
5389  1.79647749510763      0.01628664495113989	5390  1.79647749510763      0.01628664495113989
5390  1.79647749510763      0.01628664495113989	5391  1.79647749510763      0.01628664495113989
5391  1.79647749510763      0.01628664495113989	5392  1.79647749510763      0.01628664495113989
5392  1.79647749510763      0.01628664495113989	5393  1.77886497064579     0.038709677419355895
5393  1.77886497064579     0.038709677419355895	5394  1.77886497064579     0.029315960912052942
5394  1.77886497064579     0.029315960912052942	5395  1.79647749510763      0.03606557377049052
5395  1.79647749510763      0.03606557377049052	5396  1.79647749510763      0.03267973856209132
5396  1.79647749510763      0.03267973856209132	5397  1.79647749510763     0.029315960912052942
5397  1.79647749510763     0.029315960912052942	5398  1.79647749510763      0.02631578947368435
5398  1.79647749510763      0.02631578947368435	5399  1.79647749510763       0.0229508196721323
5399  1.79647749510763       0.0229508196721323	5400  1.79647749510763     0.019607843137255384
5400  1.79647749510763     0.019607843137255384	5401  1.79647749510763     0.019607843137255384
5401  1.79647749510763     0.019607843137255384	5402  1.79647749510763     0.016393442622950664
5402  1.79647749510763     0.016393442622950664	5403  1.79647749510763     0.019607843137255384
5403  1.79647749510763     0.019607843137255384	5404  1.79647749510763     0.016393442622950664
5404  1.79647749510763     0.016393442622950664	5405  1.79647749510763      0.01307189542483744
5405  1.79647749510763      0.01307189542483744	5406  1.79647749510763      0.01307189542483744
5406  1.79647749510763      0.01307189542483744	5407  1.79647749510763      0.01307189542483744
5407  1.79647749510763      0.01307189542483744	5408  1.79647749510763     0.006493506493506017
5408  1.79647749510763     0.006493506493506017	5409  1.79647749510763     0.006578947368422367
5409  1.79647749510763     0.006578947368422367	5410  1.79647749510763     0.009771986970684215
5410  1.79647749510763     0.009771986970684215	5411  1.79647749510763      0.01307189542483744
5411  1.79647749510763      0.01307189542483744	5412  1.79647749510763      0.01307189542483744
5412  1.79647749510763      0.01307189542483744	5413  1.79647749510763      0.01307189542483744
5413  1.79647749510763      0.01307189542483744	5414  1.79647749510763     0.009836065573770756
5414  1.79647749510763     0.009836065573770756	5415  1.79647749510763      0.01307189542483744
5415  1.79647749510763      0.01307189542483744	5416  1.79647749510763      0.01307189542483744
5416  1.79647749510763      0.01307189542483744	5417  1.79647749510763      0.01628664495113989
5417  1.79647749510763      0.01628664495113989	5418  1.79647749510763     0.013071895424835786
5418  1.79647749510763     0.013071895424835786	5419  1.79647749510763     0.013071895424835786
5419  1.79647749510763     0.013071895424835786	5420  1.79647749510763     0.013071895424835786
5420  1.79647749510763     0.013071895424835786	5421  1.79647749510763     0.013071895424835786
5421  1.79647749510763     0.013071895424835786	5422  1.79647749510763     0.013071895424835786
5422  1.79647749510763     0.013071895424835786	5423  1.79647749510763     0.009836065573769101
5423  1.79647749510763     0.009836065573769101	5424  1.79647749510763     0.013071895424835786
5424  1.79647749510763     0.013071895424835786	5425  1.79647749510763     0.013071895424835786
5425  1.79647749510763     0.013071895424835786	5426  1.79647749510763     0.013071895424835786
5426  1.79647749510763     0.013071895424835786	5427  1.79647749510763     0.013071895424835786
5427  1.79647749510763     0.013071895424835786	5428  1.79647749510763     0.013071895424835786
5428  1.79647749510763     0.013071895424835786	5429  1.79647749510763     0.013071895424835786
5429  1.79647749510763     0.013071895424835786	5430  1.79647749510763      0.01628664495113989
5430  1.79647749510763      0.01628664495113989	5431  1.79647749510763     0.013071895424835786
5431  1.79647749510763     0.013071895424835786	5432  1.79647749510763      0.01628664495113989
5432  1.79647749510763      0.01628664495113989	5433  1.79647749510763      0.01628664495113989
5433  1.79647749510763      0.01628664495113989	5434  1.79647749510763     0.019607843137255384
5434  1.79647749510763     0.019607843137255384	5435  1.79647749510763     0.022801302931595616
5435  1.79647749510763     0.022801302931595616	5436  1.79647749510763       0.0229508196721323
5436  1.79647749510763       0.0229508196721323	5437  1.79647749510763     0.029315960912052942
5437  1.79647749510763     0.029315960912052942	5438  1.79647749510763      0.03267973856209132
5438  1.79647749510763      0.03267973856209132	5439  1.79647749510763      0.03267973856209132
5439  1.79647749510763      0.03267973856209132	5440  1.79647749510763      0.03267973856209132
5440  1.79647749510763      0.03267973856209132	5441  1.79647749510763     0.035830618892506945
5441  1.79647749510763     0.035830618892506945	5442  1.79647749510763     0.042622950819670505
5442  1.79647749510763     0.042622950819670505	5443  1.79647749510763       0.0457516339869271
5443  1.79647749510763       0.0457516339869271	5444  1.79647749510763     0.048859934853419815
5444  1.79647749510763     0.048859934853419815	5445  1.79647749510763      0.05228758169934662
5445  1.79647749510763      0.05228758169934662	5446  1.79647749510763       0.0557377049180337
5446  1.79647749510763       0.0557377049180337	5447  1.79647749510763      0.05228758169934662
5447  1.79647749510763      0.05228758169934662	5448  1.79647749510763      0.05228758169934662
5448  1.79647749510763      0.05228758169934662	5449  1.79647749510763      0.05228758169934662
5449  1.79647749510763      0.05228758169934662	5450  1.79647749510763      0.05228758169934662
5450  1.79647749510763      0.05228758169934662	5451  1.79647749510763     0.062295081967211986
5451  1.79647749510763     0.062295081967211986	5452  1.79647749510763     0.062295081967211986
5452  1.79647749510763     0.062295081967211986	5453  1.79647749510763       0.0653594771241825
5453  1.79647749510763       0.0653594771241825	5454  1.79647749510763       0.0653594771241825
5454  1.79647749510763       0.0653594771241825	5455  1.79647749510763      0.06840390879478836
5455  1.79647749510763      0.06840390879478836	5456  1.79647749510763      0.07189542483660209
5456  1.79647749510763      0.07189542483660209	5457  1.79647749510763      0.07189542483660209
5457  1.79647749510763      0.07189542483660209	5458  1.79647749510763      0.07491856677524417
5458  1.79647749510763      0.07491856677524417	5459  1.79647749510763      0.07491856677524417
5459  1.79647749510763      0.07491856677524417	5460  1.79647749510763       0.0814332247557015
5460  1.79647749510763       0.0814332247557015	5461  1.79647749510763      0.08496732026143802
5461  1.79647749510763      0.08496732026143802	5462  1.79647749510763      0.08496732026143802
5462  1.79647749510763      0.08496732026143802	5463  1.79647749510763       0.0885245901639334
5463  1.79647749510763       0.0885245901639334	5464  1.79647749510763      0.09150326797385429
5464  1.79647749510763      0.09150326797385429	5465  1.79647749510763      0.01307189542483744
5465  1.79647749510763      0.01307189542483744	5466  1.79647749510763      0.01307189542483744
5466  1.79647749510763      0.01307189542483744	5467  1.79647749510763     0.009771986970684215
5467  1.79647749510763     0.009771986970684215	5468  1.79647749510763     0.016393442622950664
5468  1.79647749510763     0.016393442622950664	5469  1.79647749510763     0.016393442622950664
5469  1.79647749510763     0.016393442622950664	5470  1.79647749510763     0.016393442622950664
5470  1.79647749510763     0.016393442622950664	5471  1.79647749510763       0.0723684210526307
5471  1.79647749510763       0.0723684210526307	5472  1.79647749510763       0.0723684210526307
5472  1.79647749510763       0.0723684210526307	5473  1.79647749510763      0.07540983606557349
5473  1.79647749510763      0.07540983606557349	5474  1.79647749510763      0.07843137254901841
5474  1.79647749510763      0.07843137254901841	5475  1.79647749510763      0.08143322475569974
5475  1.79647749510763      0.08143322475569974	5476  1.79647749510763      0.08496732026143802
5476  1.79647749510763      0.08496732026143802	5477  1.79647749510763      0.08143322475569974
5477  1.79647749510763      0.08143322475569974	5478  1.79647749510763      0.08496732026143802
5478  1.79647749510763      0.08496732026143802	5479  1.79647749510763      0.08496732026143802
5479  1.79647749510763      0.08496732026143802	5480  1.79647749510763      0.08852459016393516
5480  1.79647749510763      0.08852459016393516	5481  1.79647749510763      0.09210526315789433
5481  1.79647749510763      0.09210526315789433	5482  1.79647749510763      0.09210526315789433
5482  1.79647749510763      0.09210526315789433	5483  1.79647749510763      0.09210526315789433
5483  1.79647749510763      0.09210526315789433	5484  1.79647749510763      0.09210526315789433
5484  1.79647749510763      0.09210526315789433	5485  1.79647749510763       0.0986842105263152
5485  1.79647749510763       0.0986842105263152	5486  1.79647749510763      0.09508196721311345
5486  1.79647749510763      0.09508196721311345	5487  1.79647749510763       0.0980392156862738
5487  1.79647749510763       0.0980392156862738	5488  1.79647749510763      0.10231023102310244
5488  1.79647749510763      0.10231023102310244	5489  1.79647749510763      0.10231023102310244
5489  1.79647749510763      0.10231023102310244	5490  1.79647749510763      0.09090909090909063
5490  1.79647749510763      0.09090909090909063	5491  1.79647749510763      0.09385113268608446
5491  1.79647749510763      0.09385113268608446	5492  1.79647749510763      0.09385113268608446
5492  1.79647749510763      0.09385113268608446	5493  1.79647749510763      0.10819672131147672
5493  1.79647749510763      0.10819672131147672	5494  1.79647749510763      0.10819672131147672
5494  1.79647749510763      0.10819672131147672	5495  1.79647749510763      0.10819672131147672
5495  1.79647749510763      0.10819672131147672	5496  1.79647749510763      0.10819672131147672
5496  1.79647749510763      0.10819672131147672	5497  1.79647749510763      0.11400651465798284
5497  1.79647749510763      0.11400651465798284	5498  1.79647749510763      0.11111111111111294
5498  1.79647749510763      0.11111111111111294	5499  1.79647749510763      0.11400651465798284
5499  1.79647749510763      0.11400651465798284	5500  1.79647749510763      0.11400651465798284
5500  1.79647749510763      0.11400651465798284	5501  1.79647749510763      0.12052117263843683
5501  1.79647749510763      0.12052117263843683	5502  1.79647749510763      0.12052117263843683
